통화코드,적용시작일,매매기준율
CNY,2016-01-04,181.1
USD,2016-01-04,1184
JPY,2016-01-04,992.62
KRW,2016-01-04,1
USD,2016-01-05,1185
CNY,2016-01-05,181.94
JPY,2016-01-05,993
KRW,2016-01-05,1
JPY,2016-01-06,1005.06
USD,2016-01-06,1191
CNY,2016-01-06,182.61
KRW,2016-01-06,1
CNY,2016-01-07,183.03
JPY,2016-01-07,1016.95
KRW,2016-01-07,1
USD,2016-01-07,1200
CNY,2016-01-08,181.56
JPY,2016-01-08,1013.12
KRW,2016-01-08,1
USD,2016-01-08,1197
KRW,2016-01-11,1
USD,2016-01-11,1207
CNY,2016-01-11,182.98
JPY,2016-01-11,1028.55
JPY,2016-01-12,1027.32
KRW,2016-01-12,1
USD,2016-01-12,1209
CNY,2016-01-12,183.43
CNY,2016-01-13,184.11
JPY,2016-01-13,1020.3
KRW,2016-01-13,1
USD,2016-01-13,1206
CNY,2016-01-14,183.87
JPY,2016-01-14,1031.29
KRW,2016-01-14,1
USD,2016-01-14,1213
USD,2016-01-15,1212
JPY,2016-01-15,1030.52
CNY,2016-01-15,183.31
KRW,2016-01-15,1
CNY,2016-01-18,184.37
JPY,2016-01-18,1034.85
KRW,2016-01-18,1
USD,2016-01-18,1210
CNY,2016-01-19,183.93
JPY,2016-01-19,1022.9
KRW,2016-01-19,1
USD,2016-01-19,1206
CNY,2016-01-20,183.48
JPY,2016-01-20,1038.33
KRW,2016-01-20,1
USD,2016-01-20,1211
USD,2016-01-21,1213
CNY,2016-01-21,183.79
JPY,2016-01-21,1037.28
KRW,2016-01-21,1
CNY,2016-01-22,182.98
JPY,2016-01-22,1018.59
KRW,2016-01-22,1
USD,2016-01-22,1200
CNY,2016-01-25,182.1
JPY,2016-01-25,1005.69
KRW,2016-01-25,1
USD,2016-01-25,1194
USD,2016-01-26,1203
JPY,2016-01-26,1020.62
CNY,2016-01-26,182.24
KRW,2016-01-26,1
CNY,2016-01-27,182
JPY,2016-01-27,1015.42
KRW,2016-01-27,1
USD,2016-01-27,1202
CNY,2016-01-28,183.65
JPY,2016-01-28,1018.51
KRW,2016-01-28,1
USD,2016-01-28,1208
CNY,2016-01-29,183.57
JPY,2016-01-29,992.14
KRW,2016-01-29,1
USD,2016-01-29,1199
USD,2016-02-01,1202
CNY,2016-02-01,183.4
JPY,2016-02-01,989.91
KRW,2016-02-01,1
CNY,2016-02-02,182.88
JPY,2016-02-02,1002.49
KRW,2016-02-02,1
USD,2016-02-02,1207
CNY,2016-02-03,184.21
JPY,2016-02-03,1018.49
KRW,2016-02-03,1
USD,2016-02-03,1220
KRW,2016-02-04,1
USD,2016-02-04,1201
CNY,2016-02-04,182.61
JPY,2016-02-04,1018.27
CNY,2016-02-05,181.73
JPY,2016-02-05,1024.52
KRW,2016-02-05,1
USD,2016-02-05,1197
CNY,2016-02-11,181.02
JPY,2016-02-11,1069.59
KRW,2016-02-11,1
USD,2016-02-11,1202
CNY,2016-02-12,182.55
JPY,2016-02-12,1078.09
KRW,2016-02-12,1
USD,2016-02-12,1208
USD,2016-02-15,1211
JPY,2016-02-15,1066.16
CNY,2016-02-15,183.61
KRW,2016-02-15,1
CNY,2016-02-16,186.42
JPY,2016-02-16,1065.33
KRW,2016-02-16,1
USD,2016-02-16,1219
CNY,2016-02-17,187.06
JPY,2016-02-17,1079.16
KRW,2016-02-17,1
USD,2016-02-17,1227
CNY,2016-02-18,187.5
JPY,2016-02-18,1076.01
KRW,2016-02-18,1
USD,2016-02-18,1228
USD,2016-02-19,1234
KRW,2016-02-19,1
JPY,2016-02-19,1093.78
CNY,2016-02-19,188.69
CNY,2016-02-22,189.05
JPY,2016-02-22,1091.63
KRW,2016-02-22,1
USD,2016-02-22,1233
CNY,2016-02-23,187.68
JPY,2016-02-23,1095.6
KRW,2016-02-23,1
USD,2016-02-23,1232
CNY,2016-02-24,188.76
JPY,2016-02-24,1103.52
KRW,2016-02-24,1
USD,2016-02-24,1236
USD,2016-02-25,1237
KRW,2016-02-25,1
CNY,2016-02-25,188.78
JPY,2016-02-25,1100.04
CNY,2016-02-26,189.18
JPY,2016-02-26,1094.73
KRW,2016-02-26,1
USD,2016-02-26,1236
CNY,2016-02-29,190.05
JPY,2016-02-29,1097.92
KRW,2016-02-29,1
USD,2016-02-29,1239
CNY,2016-03-02,187.73
JPY,2016-03-02,1078.81
KRW,2016-03-02,1
USD,2016-03-02,1230
USD,2016-03-03,1218
JPY,2016-03-03,1067.48
CNY,2016-03-03,187.15
KRW,2016-03-03,1
CNY,2016-03-04,185.57
JPY,2016-03-04,1060.5
KRW,2016-03-04,1
USD,2016-03-04,1206
CNY,2016-03-07,184.08
JPY,2016-03-07,1055.82
KRW,2016-03-07,1
USD,2016-03-07,1202
CNY,2016-03-08,184.3
JPY,2016-03-08,1067.69
KRW,2016-03-08,1
USD,2016-03-08,1205
USD,2016-03-09,1214
KRW,2016-03-09,1
CNY,2016-03-09,186.02
JPY,2016-03-09,1077.63
CNY,2016-03-10,185.79
JPY,2016-03-10,1059.94
KRW,2016-03-10,1
USD,2016-03-10,1206
CNY,2016-03-11,185.3
JPY,2016-03-11,1055.38
KRW,2016-03-11,1
USD,2016-03-11,1194
CNY,2016-03-14,182.91
JPY,2016-03-14,1041.02
KRW,2016-03-14,1
USD,2016-03-14,1184
USD,2016-03-15,1186
CNY,2016-03-15,183.08
JPY,2016-03-15,1046.41
KRW,2016-03-15,1
JPY,2016-03-16,1052.45
KRW,2016-03-16,1
USD,2016-03-16,1191
CNY,2016-03-16,183.44
CNY,2016-03-17,180.93
JPY,2016-03-17,1047.29
KRW,2016-03-17,1
USD,2016-03-17,1176
CNY,2016-03-18,178.54
JPY,2016-03-18,1041.76
KRW,2016-03-18,1
USD,2016-03-18,1160
USD,2016-03-21,1164
CNY,2016-03-21,179.87
JPY,2016-03-21,1043.53
KRW,2016-03-21,1
CNY,2016-03-22,179.04
JPY,2016-03-22,1032.21
KRW,2016-03-22,1
USD,2016-03-22,1157
CNY,2016-03-23,178.28
JPY,2016-03-23,1034.02
KRW,2016-03-23,1
USD,2016-03-23,1161
CNY,2016-03-24,179.68
JPY,2016-03-24,1036.25
KRW,2016-03-24,1
USD,2016-03-24,1165
USD,2016-03-25,1169
JPY,2016-03-25,1032.23
CNY,2016-03-25,179.45
KRW,2016-03-25,1
CNY,2016-03-28,179.41
JPY,2016-03-28,1031.46
KRW,2016-03-28,1
USD,2016-03-28,1169
CNY,2016-03-29,179.18
JPY,2016-03-29,1024.65
KRW,2016-03-29,1
USD,2016-03-29,1162
CNY,2016-03-30,177.83
JPY,2016-03-30,1026.9
KRW,2016-03-30,1
USD,2016-03-30,1153
USD,2016-03-31,1144
JPY,2016-03-31,1017.57
CNY,2016-03-31,176.96
KRW,2016-03-31,1
CNY,2016-04-01,177.55
JPY,2016-04-01,1028.55
KRW,2016-04-01,1
USD,2016-04-01,1153
CNY,2016-04-04,177.2
JPY,2016-04-04,1027.71
KRW,2016-04-04,1
USD,2016-04-04,1148
JPY,2016-04-05,1043.42
KRW,2016-04-05,1
USD,2016-04-05,1156
CNY,2016-04-05,177.82
CNY,2016-04-06,179.09
JPY,2016-04-06,1048.15
KRW,2016-04-06,1
USD,2016-04-06,1156
CNY,2016-04-07,178.22
JPY,2016-04-07,1057.9
KRW,2016-04-07,1
USD,2016-04-07,1151
USD,2016-04-08,1155
CNY,2016-04-08,179.33
JPY,2016-04-08,1061.58
KRW,2016-04-08,1
KRW,2016-04-11,1
JPY,2016-04-11,1065.43
USD,2016-04-11,1148
CNY,2016-04-11,178.17
CNY,2016-04-12,176.95
JPY,2016-04-12,1055.11
KRW,2016-04-12,1
USD,2016-04-12,1143
USD,2016-04-14,1155
CNY,2016-04-14,177.05
JPY,2016-04-14,1055.71
KRW,2016-04-14,1
KRW,2016-04-15,1
JPY,2016-04-15,1047.68
USD,2016-04-15,1146
CNY,2016-04-15,178.02
USD,2016-04-18,1150
CNY,2016-04-18,176.98
JPY,2016-04-18,1065.41
KRW,2016-04-18,1
KRW,2016-04-19,1
JPY,2016-04-19,1046.35
USD,2016-04-19,1139
CNY,2016-04-19,176.68
CNY,2016-04-20,174.82
JPY,2016-04-20,1041.65
KRW,2016-04-20,1
USD,2016-04-20,1133
USD,2016-04-21,1133
CNY,2016-04-21,175.1
JPY,2016-04-21,1031.59
KRW,2016-04-21,1
USD,2016-04-22,1141
KRW,2016-04-22,1
JPY,2016-04-22,1032.11
CNY,2016-04-22,176.03
USD,2016-04-25,1150
CNY,2016-04-25,176.9
JPY,2016-04-25,1035.76
KRW,2016-04-25,1
KRW,2016-04-26,1
JPY,2016-04-26,1035.26
USD,2016-04-26,1151
CNY,2016-04-26,177.27
USD,2016-04-27,1148
KRW,2016-04-27,1
JPY,2016-04-27,1031.49
CNY,2016-04-27,176.8
CNY,2016-04-28,176.91
JPY,2016-04-28,1053.55
KRW,2016-04-28,1
USD,2016-04-28,1141
CNY,2016-04-29,175.73
JPY,2016-04-29,1065.2
KRW,2016-04-29,1
USD,2016-04-29,1142
USD,2016-05-02,1140
CNY,2016-05-02,176.71
JPY,2016-05-02,1069.87
KRW,2016-05-02,1
USD,2016-05-03,1138
KRW,2016-05-03,1
JPY,2016-05-03,1074.5
CNY,2016-05-03,175.78
CNY,2016-05-04,177.46
JPY,2016-05-04,1074.33
KRW,2016-05-04,1
USD,2016-05-04,1152
KRW,2016-05-09,1
JPY,2016-05-09,1085.89
USD,2016-05-09,1165
CNY,2016-05-09,179.85
CNY,2016-05-10,180.31
JPY,2016-05-10,1079.86
KRW,2016-05-10,1
USD,2016-05-10,1175
USD,2016-05-11,1170
CNY,2016-05-11,179.5
JPY,2016-05-11,1075.86
KRW,2016-05-11,1
KRW,2016-05-12,1
JPY,2016-05-12,1067.43
USD,2016-05-12,1162
CNY,2016-05-12,179.61
CNY,2016-05-13,179.24
JPY,2016-05-13,1076.1
KRW,2016-05-13,1
USD,2016-05-13,1168
USD,2016-05-16,1177
CNY,2016-05-16,180.19
JPY,2016-05-16,1084.24
KRW,2016-05-16,1
USD,2016-05-17,1175
KRW,2016-05-17,1
JPY,2016-05-17,1077.29
CNY,2016-05-17,180.8
USD,2016-05-18,1181
CNY,2016-05-18,180.52
JPY,2016-05-18,1082.2
KRW,2016-05-18,1
KRW,2016-05-19,1
JPY,2016-05-19,1080.49
USD,2016-05-19,1190
CNY,2016-05-19,182
KRW,2016-05-20,1
JPY,2016-05-20,1080.74
USD,2016-05-20,1188
CNY,2016-05-20,181.46
CNY,2016-05-23,181.1
JPY,2016-05-23,1077.39
KRW,2016-05-23,1
USD,2016-05-23,1182
CNY,2016-05-24,180.61
JPY,2016-05-24,1091.03
KRW,2016-05-24,1
USD,2016-05-24,1192
USD,2016-05-25,1181
CNY,2016-05-25,181.33
JPY,2016-05-25,1073.2
KRW,2016-05-25,1
USD,2016-05-26,1182
KRW,2016-05-26,1
JPY,2016-05-26,1078.17
CNY,2016-05-26,180.35
CNY,2016-05-27,179.97
JPY,2016-05-27,1075.42
KRW,2016-05-27,1
USD,2016-05-27,1180
USD,2016-05-30,1191
CNY,2016-05-30,180.25
JPY,2016-05-30,1071.72
KRW,2016-05-30,1
KRW,2016-05-31,1
JPY,2016-05-31,1074.02
USD,2016-05-31,1192
CNY,2016-05-31,181.07
KRW,2016-06-01,1
JPY,2016-06-01,1084.86
USD,2016-06-01,1194
CNY,2016-06-01,180.78
CNY,2016-06-02,181.45
JPY,2016-06-02,1090.83
KRW,2016-06-02,1
USD,2016-06-02,1189
USD,2016-06-03,1183
JPY,2016-06-03,1086.67
KRW,2016-06-03,1
CNY,2016-06-03,180.28
CNY,2016-06-07,177.34
JPY,2016-06-07,1082.84
KRW,2016-06-07,1
USD,2016-06-07,1164
JPY,2016-06-08,1079.51
USD,2016-06-08,1154
CNY,2016-06-08,176.22
KRW,2016-06-08,1
USD,2016-06-09,1158
JPY,2016-06-09,1083.05
KRW,2016-06-09,1
CNY,2016-06-09,175.85
CNY,2016-06-10,176.78
JPY,2016-06-10,1087.8
KRW,2016-06-10,1
USD,2016-06-10,1164
KRW,2016-06-13,1
CNY,2016-06-13,178.61
JPY,2016-06-13,1104.31
USD,2016-06-13,1172
USD,2016-06-14,1173
KRW,2016-06-14,1
CNY,2016-06-14,178.12
JPY,2016-06-14,1105.82
KRW,2016-06-15,1
CNY,2016-06-15,178.28
JPY,2016-06-15,1109.07
USD,2016-06-15,1176
CNY,2016-06-16,177.77
JPY,2016-06-16,1127.38
USD,2016-06-16,1170
KRW,2016-06-16,1
USD,2016-06-17,1173
KRW,2016-06-17,1
JPY,2016-06-17,1125.94
CNY,2016-06-17,177.95
CNY,2016-06-20,177.59
JPY,2016-06-20,1110.53
KRW,2016-06-20,1
USD,2016-06-20,1162
KRW,2016-06-21,1
JPY,2016-06-21,1108.77
USD,2016-06-21,1157
CNY,2016-06-21,176.53
CNY,2016-06-22,175.11
JPY,2016-06-22,1101.93
KRW,2016-06-22,1
USD,2016-06-22,1154
USD,2016-06-23,1151
CNY,2016-06-23,175
JPY,2016-06-23,1103.55
KRW,2016-06-23,1
KRW,2016-06-24,1
JPY,2016-06-24,1151.59
USD,2016-06-24,1179
CNY,2016-06-24,173.63
CNY,2016-06-27,177.15
JPY,2016-06-27,1160.92
KRW,2016-06-27,1
USD,2016-06-27,1181
CNY,2016-06-28,177.56
JPY,2016-06-28,1150.73
KRW,2016-06-28,1
USD,2016-06-28,1173
JPY,2016-06-29,1137.96
USD,2016-06-29,1163
KRW,2016-06-29,1
CNY,2016-06-29,175.54
CNY,2016-06-30,173.89
JPY,2016-06-30,1121.75
KRW,2016-06-30,1
USD,2016-06-30,1154
USD,2016-07-01,1145
CNY,2016-07-01,173.44
JPY,2016-07-01,1114.14
KRW,2016-07-01,1
KRW,2016-07-04,1
JPY,2016-07-04,1117.99
USD,2016-07-04,1147
CNY,2016-07-04,172.94
USD,2016-07-05,1156
KRW,2016-07-05,1
JPY,2016-07-05,1132.45
CNY,2016-07-05,172.24
CNY,2016-07-06,173.52
JPY,2016-07-06,1154.3
KRW,2016-07-06,1
USD,2016-07-06,1167
CNY,2016-07-07,173.32
JPY,2016-07-07,1147.51
KRW,2016-07-07,1
USD,2016-07-07,1156
CNY,2016-07-08,173.48
JPY,2016-07-08,1155.88
KRW,2016-07-08,1
USD,2016-07-08,1159
USD,2016-07-11,1147
KRW,2016-07-11,1
JPY,2016-07-11,1125.5
CNY,2016-07-11,172.1
CNY,2016-07-12,172.1
JPY,2016-07-12,1113.27
KRW,2016-07-12,1
USD,2016-07-12,1148
CNY,2016-07-13,171.04
JPY,2016-07-13,1096.84
KRW,2016-07-13,1
USD,2016-07-13,1144
CNY,2016-07-14,171.4
JPY,2016-07-14,1079.59
KRW,2016-07-14,1
USD,2016-07-14,1138
USD,2016-07-15,1132
KRW,2016-07-15,1
JPY,2016-07-15,1070.45
CNY,2016-07-15,169.38
CNY,2016-07-18,170.59
JPY,2016-07-18,1077.37
KRW,2016-07-18,1
USD,2016-07-18,1137
CNY,2016-07-19,169.44
JPY,2016-07-19,1074.13
KRW,2016-07-19,1
USD,2016-07-19,1136
CNY,2016-07-20,170.55
JPY,2016-07-20,1074.98
KRW,2016-07-20,1
USD,2016-07-20,1142
USD,2016-07-21,1139
KRW,2016-07-21,1
JPY,2016-07-21,1062.95
CNY,2016-07-21,171.17
CNY,2016-07-22,170.63
JPY,2016-07-22,1072.22
KRW,2016-07-22,1
USD,2016-07-22,1135
CNY,2016-07-25,169.93
JPY,2016-07-25,1067.48
KRW,2016-07-25,1
USD,2016-07-25,1135
USD,2016-07-26,1135
CNY,2016-07-26,171.15
JPY,2016-07-26,1087.16
KRW,2016-07-26,1
USD,2016-07-27,1134
KRW,2016-07-27,1
CNY,2016-07-27,170.57
JPY,2016-07-27,1075.6
CNY,2016-07-28,169.57
JPY,2016-07-28,1075.48
KRW,2016-07-28,1
USD,2016-07-28,1127
USD,2016-07-29,1121
JPY,2016-07-29,1085.82
KRW,2016-07-29,1
CNY,2016-07-29,169.04
CNY,2016-08-01,167.84
JPY,2016-08-01,1084.67
KRW,2016-08-01,1
USD,2016-08-01,1110
JPY,2016-08-02,1082.95
USD,2016-08-02,1109
CNY,2016-08-02,166.93
KRW,2016-08-02,1
USD,2016-08-03,1116
JPY,2016-08-03,1104.79
KRW,2016-08-03,1
CNY,2016-08-03,167.8
CNY,2016-08-04,168.37
JPY,2016-08-04,1098.72
KRW,2016-08-04,1
USD,2016-08-04,1113
KRW,2016-08-05,1
CNY,2016-08-05,167.73
JPY,2016-08-05,1101.06
USD,2016-08-05,1114
USD,2016-08-08,1111
KRW,2016-08-08,1
CNY,2016-08-08,167.51
JPY,2016-08-08,1087.67
KRW,2016-08-09,1
CNY,2016-08-09,166.34
JPY,2016-08-09,1081.98
USD,2016-08-09,1108
CNY,2016-08-10,165.88
JPY,2016-08-10,1079.7
USD,2016-08-10,1096
KRW,2016-08-10,1
JPY,2016-08-11,1087.78
USD,2016-08-11,1101
KRW,2016-08-11,1
CNY,2016-08-11,165.27
CNY,2016-08-12,165.83
JPY,2016-08-12,1082.7
KRW,2016-08-12,1
USD,2016-08-12,1103
USD,2016-08-16,1094
CNY,2016-08-16,165.42
JPY,2016-08-16,1088.99
KRW,2016-08-16,1
CNY,2016-08-17,165.43
JPY,2016-08-17,1099.21
KRW,2016-08-17,1
USD,2016-08-17,1108
USD,2016-08-18,1108
CNY,2016-08-18,167.01
JPY,2016-08-18,1111.33
KRW,2016-08-18,1
KRW,2016-08-19,1
USD,2016-08-19,1120
JPY,2016-08-19,1118.94
CNY,2016-08-19,167.09
CNY,2016-08-22,167.75
JPY,2016-08-22,1118.71
KRW,2016-08-22,1
USD,2016-08-22,1128
KRW,2016-08-23,1
CNY,2016-08-23,169.01
JPY,2016-08-23,1112.33
USD,2016-08-23,1116
CNY,2016-08-24,168.81
JPY,2016-08-24,1118.04
KRW,2016-08-24,1
USD,2016-08-24,1121
JPY,2016-08-25,1111.72
USD,2016-08-25,1117
KRW,2016-08-25,1
CNY,2016-08-25,168.35
CNY,2016-08-26,167.59
JPY,2016-08-26,1105.75
USD,2016-08-26,1112
KRW,2016-08-26,1
USD,2016-08-29,1126
JPY,2016-08-29,1100.36
KRW,2016-08-29,1
CNY,2016-08-29,168.17
CNY,2016-08-30,167.58
JPY,2016-08-30,1097.49
KRW,2016-08-30,1
USD,2016-08-30,1119
KRW,2016-08-31,1
JPY,2016-08-31,1083.86
USD,2016-08-31,1116
CNY,2016-08-31,167.64
CNY,2016-09-01,167.09
JPY,2016-09-01,1083.7
KRW,2016-09-01,1
USD,2016-09-01,1120
USD,2016-09-02,1118
CNY,2016-09-02,167.58
JPY,2016-09-02,1083.07
KRW,2016-09-02,1
KRW,2016-09-05,1
JPY,2016-09-05,1070.01
USD,2016-09-05,1108
CNY,2016-09-05,167.06
CNY,2016-09-06,165.66
JPY,2016-09-06,1069.17
KRW,2016-09-06,1
USD,2016-09-06,1106
CNY,2016-09-07,164.04
JPY,2016-09-07,1073.82
KRW,2016-09-07,1
USD,2016-09-07,1091
JPY,2016-09-08,1073.03
USD,2016-09-08,1091
KRW,2016-09-08,1
CNY,2016-09-08,163.76
CNY,2016-09-09,164.91
JPY,2016-09-09,1074.03
KRW,2016-09-09,1
USD,2016-09-09,1099
USD,2016-09-12,1113
CNY,2016-09-12,166.07
JPY,2016-09-12,1086.97
KRW,2016-09-12,1
USD,2016-09-13,1117
KRW,2016-09-13,1
CNY,2016-09-13,166.02
JPY,2016-09-13,1096.82
CNY,2016-09-19,168.74
JPY,2016-09-19,1092.86
KRW,2016-09-19,1
USD,2016-09-19,1118
KRW,2016-09-20,1
JPY,2016-09-20,1100.14
USD,2016-09-20,1120
CNY,2016-09-20,167.96
CNY,2016-09-21,167.57
JPY,2016-09-21,1094.1
KRW,2016-09-21,1
USD,2016-09-21,1122
USD,2016-09-22,1103
CNY,2016-09-22,165.32
JPY,2016-09-22,1098.72
KRW,2016-09-22,1
USD,2016-09-23,1103
KRW,2016-09-23,1
CNY,2016-09-23,165.5
JPY,2016-09-23,1094.25
CNY,2016-09-26,165.69
JPY,2016-09-26,1098.18
KRW,2016-09-26,1
USD,2016-09-26,1109
KRW,2016-09-27,1
CNY,2016-09-27,166.3
JPY,2016-09-27,1088.29
USD,2016-09-27,1097
CNY,2016-09-28,164.47
JPY,2016-09-28,1093.23
KRW,2016-09-28,1
USD,2016-09-28,1097
JPY,2016-09-29,1077.36
KRW,2016-09-29,1
CNY,2016-09-29,163.6
USD,2016-09-29,1096
JPY,2016-09-30,1086.51
KRW,2016-09-30,1
CNY,2016-09-30,165.44
USD,2016-09-30,1099
CNY,2016-10-04,165.33
JPY,2016-10-04,1083.81
USD,2016-10-04,1107
KRW,2016-10-04,1
USD,2016-10-05,1113
JPY,2016-10-05,1082.47
KRW,2016-10-05,1
CNY,2016-10-05,167.43
CNY,2016-10-06,167.13
JPY,2016-10-06,1073.48
KRW,2016-10-06,1
USD,2016-10-06,1111
CNY,2016-10-07,167.13
JPY,2016-10-07,1073.51
KRW,2016-10-07,1
USD,2016-10-07,1115
CNY,2016-10-10,167.28
JPY,2016-10-10,1075.26
KRW,2016-10-10,1
USD,2016-10-10,1108
USD,2016-10-11,1121
KRW,2016-10-11,1
JPY,2016-10-11,1081.47
CNY,2016-10-11,165.34
CNY,2016-10-12,167.81
JPY,2016-10-12,1087.3
KRW,2016-10-12,1
USD,2016-10-12,1124
CNY,2016-10-13,167.59
JPY,2016-10-13,1093.54
KRW,2016-10-13,1
USD,2016-10-13,1134
CNY,2016-10-14,167.97
JPY,2016-10-14,1089.86
KRW,2016-10-14,1
USD,2016-10-14,1134
USD,2016-10-17,1140
KRW,2016-10-17,1
CNY,2016-10-17,168.83
JPY,2016-10-17,1094.31
CNY,2016-10-18,168.76
JPY,2016-10-18,1086.83
KRW,2016-10-18,1
USD,2016-10-18,1129
CNY,2016-10-19,166.9
JPY,2016-10-19,1079.34
KRW,2016-10-19,1
USD,2016-10-19,1121
USD,2016-10-20,1125
CNY,2016-10-20,166.38
JPY,2016-10-20,1088.17
KRW,2016-10-20,1
USD,2016-10-21,1136
KRW,2016-10-21,1
JPY,2016-10-21,1092.15
CNY,2016-10-21,167.82
CNY,2016-10-24,167.89
JPY,2016-10-24,1088.88
KRW,2016-10-24,1
USD,2016-10-24,1132
USD,2016-10-25,1136
CNY,2016-10-25,167.68
JPY,2016-10-25,1088.96
KRW,2016-10-25,1
KRW,2016-10-26,1
USD,2016-10-26,1134
CNY,2016-10-26,166.64
JPY,2016-10-26,1089.39
USD,2016-10-27,1143
KRW,2016-10-27,1
JPY,2016-10-27,1093.2
CNY,2016-10-27,168.22
CNY,2016-10-28,169.05
JPY,2016-10-28,1089.79
KRW,2016-10-28,1
USD,2016-10-28,1147
CNY,2016-10-31,169.21
JPY,2016-10-31,1092.32
KRW,2016-10-31,1
USD,2016-10-31,1143
USD,2016-11-01,1139
CNY,2016-11-01,168.69
JPY,2016-11-01,1086.37
KRW,2016-11-01,1
USD,2016-11-02,1150
KRW,2016-11-02,1
CNY,2016-11-02,169.37
JPY,2016-11-02,1105.34
CNY,2016-11-03,169.46
JPY,2016-11-03,1104.63
KRW,2016-11-03,1
USD,2016-11-03,1137
KRW,2016-11-04,1
CNY,2016-11-04,169.12
JPY,2016-11-04,1111.11
USD,2016-11-04,1144
USD,2016-11-07,1142
KRW,2016-11-07,1
JPY,2016-11-07,1093.76
CNY,2016-11-07,169.03
CNY,2016-11-08,168.38
JPY,2016-11-08,1087.57
KRW,2016-11-08,1
USD,2016-11-08,1137
CNY,2016-11-09,166.2
JPY,2016-11-09,1121.09
KRW,2016-11-09,1
USD,2016-11-09,1148
KRW,2016-11-10,1
USD,2016-11-10,1150
CNY,2016-11-10,170.8
JPY,2016-11-10,1091.81
CNY,2016-11-11,170.69
JPY,2016-11-11,1090.86
KRW,2016-11-11,1
USD,2016-11-11,1161
CNY,2016-11-14,171.16
JPY,2016-11-14,1091.11
KRW,2016-11-14,1
USD,2016-11-14,1170
USD,2016-11-15,1170
CNY,2016-11-15,170.89
JPY,2016-11-15,1085.04
KRW,2016-11-15,1
KRW,2016-11-16,1
USD,2016-11-16,1168
CNY,2016-11-16,170.29
JPY,2016-11-16,1071.07
JPY,2016-11-17,1080.68
KRW,2016-11-17,1
CNY,2016-11-17,170.34
USD,2016-11-17,1176
CNY,2016-11-18,171.27
JPY,2016-11-18,1068.23
KRW,2016-11-18,1
USD,2016-11-18,1182
CNY,2016-11-21,171.45
JPY,2016-11-21,1067.71
KRW,2016-11-21,1
USD,2016-11-21,1185
CNY,2016-11-22,170.91
JPY,2016-11-22,1058.99
KRW,2016-11-22,1
USD,2016-11-22,1174
USD,2016-11-23,1178
KRW,2016-11-23,1
CNY,2016-11-23,169.82
JPY,2016-11-23,1059.92
CNY,2016-11-24,170.95
JPY,2016-11-24,1047.63
KRW,2016-11-24,1
USD,2016-11-24,1179
USD,2016-11-25,1178
CNY,2016-11-25,170.25
JPY,2016-11-25,1035.88
KRW,2016-11-25,1
KRW,2016-11-28,1
USD,2016-11-28,1172
CNY,2016-11-28,169.95
JPY,2016-11-28,1046.8
CNY,2016-11-29,169.5
JPY,2016-11-29,1043.69
KRW,2016-11-29,1
USD,2016-11-29,1167
CNY,2016-11-30,169.36
JPY,2016-11-30,1038.36
KRW,2016-11-30,1
USD,2016-11-30,1168
KRW,2016-12-01,1
USD,2016-12-01,1168
CNY,2016-12-01,170.77
JPY,2016-12-01,1025.46
CNY,2016-12-02,169.47
JPY,2016-12-02,1030.27
KRW,2016-12-02,1
USD,2016-12-02,1171
CNY,2016-12-05,169.47
JPY,2016-12-05,1033.33
KRW,2016-12-05,1
USD,2016-12-05,1175
CNY,2016-12-06,169.75
JPY,2016-12-06,1029.79
KRW,2016-12-06,1
USD,2016-12-06,1172
USD,2016-12-07,1167
KRW,2016-12-07,1
CNY,2016-12-07,170.16
JPY,2016-12-07,1023.33
CNY,2016-12-08,168.31
JPY,2016-12-08,1019.23
KRW,2016-12-08,1
USD,2016-12-08,1158
CNY,2016-12-09,169.05
JPY,2016-12-09,1022.65
KRW,2016-12-09,1
USD,2016-12-09,1167
KRW,2016-12-12,1
USD,2016-12-12,1169
JPY,2016-12-12,1012.25
CNY,2016-12-12,169.24
CNY,2016-12-13,168.68
JPY,2016-12-13,1013.97
KRW,2016-12-13,1
USD,2016-12-13,1165
CNY,2016-12-14,168.8
JPY,2016-12-14,1014.54
KRW,2016-12-14,1
USD,2016-12-14,1169
USD,2016-12-15,1181
KRW,2016-12-15,1
JPY,2016-12-15,1007.51
CNY,2016-12-15,171.04
CNY,2016-12-16,170.36
JPY,2016-12-16,1000.34
KRW,2016-12-16,1
USD,2016-12-16,1183
CNY,2016-12-19,170.4
JPY,2016-12-19,1013.16
KRW,2016-12-19,1
USD,2016-12-19,1186
USD,2016-12-20,1192
KRW,2016-12-20,1
JPY,2016-12-20,1017.85
CNY,2016-12-20,170.84
CNY,2016-12-21,171.55
JPY,2016-12-21,1013.15
KRW,2016-12-21,1
USD,2016-12-21,1194
CNY,2016-12-22,172.14
JPY,2016-12-22,1020.56
KRW,2016-12-22,1
USD,2016-12-22,1199
KRW,2016-12-23,1
USD,2016-12-23,1204
CNY,2016-12-23,173.23
JPY,2016-12-23,1023.85
KRW,2016-12-26,1
USD,2016-12-26,1198
CNY,2016-12-26,173.04
JPY,2016-12-26,1021.79
CNY,2016-12-27,172.98
JPY,2016-12-27,1029.01
KRW,2016-12-27,1
USD,2016-12-27,1206
CNY,2016-12-28,173.9
JPY,2016-12-28,1029.16
KRW,2016-12-28,1
USD,2016-12-28,1209
USD,2016-12-29,1208
KRW,2016-12-29,1
